DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,LoyalClass,LoyalSpend,LoyalTime,TargetBuy
5.0,51.0,2,0,3,3,3,0.0099999999999999,5.0,0
15.0,51.0,2,1,3,3,0,8000.0,5.0,1
8.0,51.0,2,1,0,2,3,0.0099999999999999,6.5646704949412085,1
8.0,28.0,2,0,3,3,3,0.0099999999999999,6.5646704949412085,1
14.0,67.0,2,0,3,3,3,0.0099999999999999,7.0,0
8.0,65.0,2,0,3,3,2,3000.0,3.0,0
7.0,41.0,2,0,3,3,3,0.0099999999999999,7.0,0
13.0,50.0,2,0,3,3,3,0.0099999999999999,5.0,1
8.0,36.0,2,0,3,3,3,0.0099999999999999,9.0,0
8.0,51.0,2,1,0,10,2,2000.0,1.0,0
8.0,51.0,1,0,3,3,0,6000.0,1.0,1
8.0,51.0,2,0,0,10,2,5000.0,12.0,1
8.0,51.0,2,2,3,8,0,18633.51,3.0,0
11.0,59.0,2,2,3,3,0,12000.0,9.0,0
13.0,51.0,1,0,3,3,0,6000.0,2.0,0
8.0,57.0,2,0,1,12,3,0.0099999999999999,5.0,0
5.0,51.0,2,0,0,10,2,0.0199999999999999,5.0,0
8.0,54.0,2,0,0,10,2,5000.0,4.0,0
8.0,71.0,1,0,3,3,0,6000.0,26.0,0
8.0,47.0,4,0,3,3,3,0.0099999999999999,8.0,0
11.0,40.0,2,0,3,3,2,3000.01,10.0,1
6.0,51.0,3,0,3,3,3,0.0099999999999999,7.0,0
9.0,51.0,2,0,0,10,2,3000.0,6.5646704949412085,1
17.0,52.0,2,1,3,3,2,3000.0,9.0,1
8.0,57.0,5,0,3,3,3,0.0099999999999999,9.0,0
13.0,46.0,2,0,3,3,3,0.0099999999999999,8.0,1
15.0,52.0,2,0,3,3,2,2000.0,5.0,1
8.0,51.0,2,1,0,10,2,300.0,11.0,0
9.0,51.0,2,0,3,3,0,6000.0,1.0,0
5.0,51.0,2,0,0,2,0,6053.349999999999,5.0,0
5.0,58.0,2,0,3,3,3,0.0099999999999999,8.0,1
8.0,34.0,2,1,3,3,2,3250.0,2.0,0
6.0,51.0,2,0,3,3,3,0.0099999999999999,8.0,0
8.0,72.0,2,0,0,10,2,1250.0,23.0,1
9.0,51.0,2,2,0,11,2,2000.0,4.0,0
8.0,36.0,2,1,0,10,2,4300.0,1.0,0
9.0,72.0,2,1,3,8,3,0.0099999999999999,6.5646704949412085,0
8.0,51.0,5,0,0,11,2,600.0,6.5646704949412085,1
8.0,51.0,2,1,0,10,3,0.0099999999999999,4.0,0
15.0,65.0,2,0,1,12,1,25000.0,6.5646704949412085,1
8.0,60.0,4,0,3,3,2,1000.0,5.0,0
7.0,61.0,2,0,0,10,2,4350.0,7.0,0
15.0,34.0,3,0,3,3,0,9000.0,8.0,0
8.0,59.0,5,1,3,3,2,1000.0,5.0,0
9.0,43.0,5,0,3,3,3,0.0099999999999999,8.0,0
12.0,71.0,1,0,3,3,0,18000.0,3.0,0
8.0,54.0,2,1,0,10,2,2000.0,1.0,0
8.0,61.0,2,0,0,10,3,0.0099999999999999,4.0,0
7.0,51.0,1,1,3,3,0,6000.0,1.0,0
8.0,61.0,2,0,0,10,0,16052.66,7.0,0
8.0,66.0,5,0,3,3,0,15000.0,13.0,0
8.0,74.0,1,1,3,3,0,19215.21,1.0,0
9.0,66.0,1,0,3,3,0,6000.0,2.0,0
8.0,51.0,5,0,0,2,3,0.0099999999999999,4.0,0
7.0,51.0,1,0,3,3,3,0.0099999999999999,8.0,0
7.0,45.0,2,0,1,7,0,6000.0,1.0,0
8.0,51.0,3,0,3,3,3,0.0099999999999999,8.0,0
9.0,51.0,2,0,0,10,2,50.0,10.0,0
7.0,51.0,2,0,1,7,3,0.0099999999999999,9.0,0
7.0,49.0,1,0,3,3,2,2.66,13.0,0
9.0,71.0,2,0,3,3,0,6000.0,1.0,0
10.0,51.0,2,0,3,3,0,5300.0,2.0,0
4.0,43.0,2,0,3,8,3,0.0099999999999999,5.0,0
8.0,41.0,5,0,3,3,2,1050.0,7.0,1
5.0,51.0,2,0,1,7,2,100.01,8.0,0
7.0,51.0,2,0,3,3,2,0.0199999999999999,8.0,0
7.0,60.0,5,0,3,3,3,0.0099999999999999,4.0,0
10.0,51.0,2,0,0,10,2,2000.0,13.0,0
4.0,51.0,2,2,0,10,0,7500.0,5.0,0
8.0,51.0,2,0,0,4,3,0.0099999999999999,9.0,0
8.0,57.0,1,0,3,3,2,2000.0,2.0,0
8.0,50.0,2,1,0,10,2,1000.0,8.0,0
8.0,30.0,2,0,0,10,3,0.0099999999999999,8.0,1
7.0,51.0,2,0,1,7,3,0.0099999999999999,5.0,0
11.0,51.0,0,0,3,3,0,6000.0,1.0,0
15.0,58.0,4,1,3,3,2,4000.0,6.5646704949412085,0
5.0,56.0,2,0,0,10,0,11000.0,6.5646704949412085,0
4.0,67.0,2,0,3,3,2,2500.0,1.0,0
8.0,50.0,2,0,0,2,2,3000.0,8.0,0
7.0,51.0,2,1,0,10,2,4000.0,6.5646704949412085,0
9.0,73.0,3,0,3,3,2,4000.0,1.0,0
9.0,51.0,1,0,3,3,2,3000.0,2.0,0
7.0,73.0,2,0,0,10,0,10553.34,6.0,0
8.0,63.0,1,0,3,3,2,2500.0,2.0,0
9.0,51.0,3,0,3,3,2,1500.0,4.0,0
13.0,51.0,2,0,0,2,3,0.0099999999999999,8.0,1
13.0,56.0,3,0,3,3,3,0.0099999999999999,4.0,0
8.0,31.0,2,0,0,11,3,0.0099999999999999,9.0,1
4.0,59.0,2,0,0,2,3,0.0099999999999999,10.0,0
8.0,64.0,3,0,3,3,0,12000.0,1.0,0
8.0,58.0,2,0,0,10,0,10000.0,4.0,0
10.0,51.0,2,0,3,3,3,0.0099999999999999,5.0,0
8.0,63.0,2,0,0,11,2,3000.0,8.0,1
8.0,51.0,2,0,0,10,2,1500.0,6.0,1
7.0,43.0,2,0,0,10,0,6000.0,3.0,0
8.0,44.0,5,1,3,3,3,0.0099999999999999,8.0,0
8.0,50.0,2,0,0,10,2,600.0,5.0,0
8.0,47.0,2,0,1,7,3,0.0099999999999999,5.0,0
16.0,71.0,5,0,3,3,0,9000.0,7.0,0
7.0,51.0,5,0,3,3,2,500.0,2.0,0
8.0,51.0,3,2,3,3,0,6053.349999999999,6.5646704949412085,0
7.0,65.0,2,0,0,10,2,500.0,9.0,0
8.0,51.0,1,1,3,3,3,0.0099999999999999,6.5646704949412085,0
7.0,51.0,2,0,3,3,3,0.0099999999999999,7.0,1
10.0,46.0,2,0,3,3,2,100.0,1.0,0
8.0,68.0,1,0,3,3,0,8500.0,7.0,0
23.0,34.0,5,1,3,3,0,6053.349999999999,6.5646704949412085,1
10.0,51.0,5,1,3,3,0,17782.83,9.0,0
14.0,51.0,0,0,3,3,0,6000.0,2.0,0
10.0,51.0,4,1,3,3,2,5000.0,12.0,0
8.0,51.0,2,0,3,3,3,0.0099999999999999,5.0,0
3.0,60.0,2,0,3,3,0,6000.0,1.0,0
8.0,51.0,2,0,3,3,3,0.0099999999999999,8.0,0
2.0,58.0,2,0,4,9,2,3500.0,9.0,0
13.0,51.0,2,0,0,10,2,3000.0,6.0,1
6.0,51.0,2,0,1,5,3,0.0099999999999999,5.0,0
8.0,45.0,2,1,3,3,2,0.0199999999999999,8.0,0
8.0,48.0,4,0,3,3,3,0.0099999999999999,4.0,0
11.0,51.0,2,1,0,4,2,3000.0,6.0,0
8.0,37.0,5,0,3,3,3,0.0099999999999999,8.0,1
13.0,56.0,3,0,3,3,2,1300.0,6.0,1
10.0,19.0,5,0,3,3,2,1500.0,1.0,0
11.0,51.0,2,0,3,3,0,12000.0,1.0,0
8.0,50.0,3,0,3,3,2,1000.0,9.0,0
8.0,38.0,2,0,3,3,3,0.0099999999999999,5.0,1
7.0,47.0,2,0,0,10,3,0.0099999999999999,5.0,0
6.0,65.0,2,0,0,10,0,6105.32,7.0,0
7.0,70.0,5,0,3,3,0,17345.64,3.0,0
9.0,51.0,2,0,0,4,3,0.0099999999999999,5.0,0
9.0,60.0,2,0,0,10,0,18000.0,2.0,0
7.0,52.0,2,0,3,3,0,6000.0,2.0,0
6.0,69.0,2,0,2,6,1,20885.91,3.0,0
10.0,45.0,2,2,0,10,0,12000.0,6.5646704949412085,0
8.0,37.0,2,0,3,3,0,6000.0,1.0,1
5.0,73.0,3,0,3,3,0,6000.0,1.0,0
25.0,51.0,1,0,3,3,3,0.0099999999999999,5.0,1
8.0,73.0,2,1,3,3,0,18000.0,10.0,0
6.0,42.0,2,0,0,10,3,0.0099999999999999,4.0,0
9.0,51.0,2,0,3,8,2,1800.0,8.0,0
2.0,32.0,2,0,3,8,3,0.0099999999999999,4.0,0
12.0,34.0,2,0,3,3,3,0.0099999999999999,4.0,0
12.0,32.0,3,0,3,3,3,0.0099999999999999,5.0,0
8.0,73.0,2,0,3,8,0,6000.0,6.5646704949412085,0
10.0,33.0,2,0,0,4,3,0.0099999999999999,8.0,0
8.0,37.0,2,0,3,3,0,6000.0,1.0,0
8.0,48.0,4,0,3,3,0,6000.0,1.0,0
7.0,51.0,4,0,3,3,0,12000.0,1.0,1
6.0,51.0,2,1,0,10,2,4800.0,29.0,0
5.0,64.0,2,0,3,3,1,50000.0,1.0,0
4.0,63.0,4,0,3,3,0,8000.0,4.0,0
12.0,51.0,2,1,0,10,0,8044.459999999999,7.0,0
10.0,51.0,2,1,3,3,2,3052.66,7.0,0
9.0,47.0,2,0,0,10,2,600.0,5.0,0
13.0,47.0,5,0,3,3,2,50.0,1.0,0
8.0,61.0,2,1,3,3,0,12000.0,15.0,0
8.0,65.0,2,1,3,3,2,4000.0,4.0,0
6.0,52.0,3,0,3,3,3,0.0099999999999999,9.0,0
12.0,29.0,2,1,3,3,2,3000.0,6.5646704949412085,1
4.0,50.0,2,0,0,11,2,420.0,9.0,0
8.0,34.0,2,0,0,2,3,0.0099999999999999,7.0,0
10.0,52.0,2,0,0,10,3,0.0099999999999999,7.0,0
7.0,51.0,2,0,3,8,2,3620.0,10.0,1
6.0,51.0,2,0,1,7,3,0.0099999999999999,7.0,1
14.0,51.0,2,0,3,3,3,0.0099999999999999,7.0,0
8.0,60.0,4,0,3,3,3,0.0099999999999999,5.0,0
8.0,51.0,2,0,0,10,2,840.0,5.0,1
9.0,51.0,1,0,2,1,0,6053.349999999999,6.5646704949412085,0
8.0,39.0,3,0,3,3,3,0.0099999999999999,5.0,0
6.0,77.0,1,2,3,3,0,6000.0,6.5646704949412085,0
8.0,51.0,5,0,3,8,0,13000.0,22.0,0
14.0,51.0,5,0,3,3,3,0.0099999999999999,5.0,1
5.0,51.0,2,1,3,8,2,200.0,10.0,0
8.0,42.0,5,1,3,3,2,50.01,8.0,0
9.0,51.0,2,0,3,3,0,15000.0,3.0,0
11.0,51.0,2,0,0,2,3,0.0099999999999999,7.0,0
10.0,48.0,2,0,3,3,0,6000.0,1.0,0
8.0,41.0,2,1,3,8,2,50.0,10.0,0
11.0,43.0,5,0,3,3,2,1000.0,9.0,1
7.0,51.0,2,1,3,3,2,3000.0,8.0,0
8.0,43.0,2,0,1,7,3,0.0099999999999999,5.0,1
7.0,51.0,2,0,0,10,0,12000.0,8.0,0
4.0,72.0,2,0,0,10,2,5000.0,6.0,0
8.0,51.0,5,0,0,4,3,0.0099999999999999,9.0,1
11.0,35.0,2,0,0,2,0,6200.0,6.5646704949412085,1
7.0,73.0,2,0,0,11,0,12000.0,8.0,0
3.0,51.0,3,0,3,3,2,2000.0,1.0,1
17.0,39.0,3,0,3,3,2,2000.0,4.0,1
6.0,45.0,2,0,0,11,2,3052.66,6.5646704949412085,0
8.0,37.0,2,0,0,10,3,0.0099999999999999,6.5646704949412085,1
8.0,76.0,2,1,3,3,2,3000.0,2.0,0
12.0,38.0,2,0,0,10,2,2000.0,2.0,1
8.0,60.0,2,0,0,2,1,24194.12,7.0,0
6.0,75.0,2,0,0,10,2,3000.0,8.0,0
9.0,62.0,2,0,0,4,2,3000.0,6.5646704949412085,0
8.0,48.0,2,0,3,3,0,6000.0,1.0,0
12.0,67.0,2,0,0,10,0,10001.74,4.0,0
4.0,72.0,2,1,0,4,2,1500.0,6.5646704949412085,0
5.0,62.0,2,0,0,11,2,1167.15,4.0,0
9.0,76.0,2,0,3,3,2,1000.0,2.0,0
9.0,47.0,2,0,2,6,2,1500.0,18.0,0
5.0,51.0,2,0,0,10,2,1000.0,1.0,1
8.0,50.0,2,0,0,10,2,3000.0,4.0,0
8.0,54.0,2,0,0,11,3,0.0099999999999999,5.0,0
8.0,51.0,0,0,3,3,0,12000.0,5.0,0
9.0,25.0,2,0,0,10,2,1000.0,6.5646704949412085,1
8.0,70.0,1,0,3,3,0,6000.0,15.0,0
4.0,71.0,1,0,3,3,2,500.0,17.0,0
8.0,76.0,2,0,1,5,0,15000.0,10.0,0
8.0,44.0,5,0,3,3,3,0.0099999999999999,6.5646704949412085,0
14.0,71.0,2,0,0,10,1,86673.37999999999,1.0,0
5.0,57.0,2,0,0,11,2,3000.0,8.0,0
8.0,72.0,2,1,1,7,2,3000.0,8.0,0
8.0,51.0,2,0,3,3,3,0.0099999999999999,5.0,0
7.0,78.0,2,0,3,3,0,10000.0,1.0,0
8.0,46.0,2,2,0,10,0,6053.349999999999,12.0,0
9.0,51.0,2,0,1,12,0,12000.0,4.0,0
8.0,51.0,2,0,0,4,2,0.0199999999999999,5.0,0
4.0,74.0,4,2,3,3,0,6105.32,6.5646704949412085,0
9.0,51.0,2,0,0,10,2,5000.0,5.0,0
8.0,53.0,2,1,2,1,0,12000.0,2.0,0
9.0,42.0,2,0,0,10,2,1000.0,5.0,1
8.0,52.0,4,0,3,3,3,0.0099999999999999,8.0,0
6.0,63.0,2,0,0,10,0,10053.35,12.0,0
7.0,51.0,2,0,0,10,1,20513.95,3.0,0
8.0,67.0,2,1,2,6,1,24000.0,4.0,0
8.0,51.0,4,0,3,3,2,4000.0,1.0,0
11.0,51.0,2,0,3,3,2,1500.0,1.0,1
8.0,54.0,2,0,0,10,0,10000.0,12.0,0
8.0,49.0,2,0,0,10,3,0.0099999999999999,5.0,1
13.0,51.0,2,0,3,3,3,0.0099999999999999,6.0,1
8.0,53.0,2,1,0,10,0,6000.0,1.0,0
7.0,51.0,1,0,3,3,0,6000.0,2.0,0
10.0,34.0,3,1,3,3,3,0.0099999999999999,6.5646704949412085,1
30.0,36.0,2,0,1,7,2,360.0,6.5646704949412085,1
14.0,54.0,2,1,0,10,2,600.0,6.5646704949412085,0
10.0,64.0,2,0,0,10,3,0.0099999999999999,8.0,0
6.0,62.0,3,0,3,3,0,6000.0,4.0,0
9.0,65.0,4,0,3,3,0,8000.0,2.0,0
11.0,51.0,3,1,3,3,0,9000.0,3.0,0
8.0,39.0,1,0,1,12,2,2035.88,6.5646704949412085,0
8.0,49.0,4,0,3,3,3,0.0099999999999999,5.0,0
8.0,51.0,1,2,3,3,0,6105.32,7.0,0
7.0,51.0,2,0,3,3,2,100.01,8.0,0
8.0,55.0,2,0,0,11,0,12158.669999999998,8.0,0
7.0,51.0,2,2,0,11,2,2000.0,1.0,0
8.0,78.0,2,0,0,10,2,5000.0,4.0,0
5.0,59.0,2,0,0,10,3,0.0099999999999999,5.0,0
15.0,45.0,2,0,3,3,0,6053.82,6.0,0
8.0,47.0,2,0,1,5,0,16884.25,8.0,0
5.0,44.0,4,0,3,3,3,0.0099999999999999,5.0,0
13.0,49.0,5,0,3,3,2,2040.0,5.0,0
6.0,51.0,2,1,0,10,0,6053.349999999999,7.0,0
17.0,51.0,2,0,3,3,2,500.0,9.0,0
8.0,43.0,2,0,0,10,1,33176.259999999995,4.0,0
6.0,66.0,2,0,0,10,2,50.0,10.0,0
8.0,65.0,2,0,1,12,3,0.0099999999999999,5.0,0
7.0,29.0,2,0,0,10,2,1600.0,9.0,0
5.0,33.0,2,0,0,10,3,0.0099999999999999,8.0,0
8.0,67.0,2,1,0,11,0,12000.0,7.0,0
8.0,51.0,2,0,0,10,2,300.0,12.0,1
8.0,53.0,2,2,0,10,0,6035.349999999999,7.0,0
11.0,51.0,2,2,1,12,0,5000.01,4.0,0
9.0,52.0,2,1,0,10,2,600.0,6.5646704949412085,0
9.0,53.0,2,0,0,10,2,70.01,8.0,0
12.0,42.0,2,0,0,4,0,13000.02,13.0,0
8.0,61.0,2,1,0,11,0,7900.0,2.0,1
8.0,77.0,5,0,3,3,2,500.0,8.0,1
8.0,51.0,1,0,0,2,2,5000.0,6.5646704949412085,1
10.0,45.0,2,0,1,7,2,600.0,4.0,0
8.0,43.0,3,1,3,3,3,0.0099999999999999,8.0,0
6.0,51.0,2,0,1,7,2,2000.0,1.0,1
13.0,51.0,2,0,0,2,2,3000.0,9.0,0
7.0,51.0,2,0,3,8,3,0.0099999999999999,8.0,0
11.0,51.0,2,1,2,6,2,1000.0,11.0,0
10.0,51.0,1,0,3,3,2,1000.0,1.0,0
19.0,51.0,1,2,3,3,0,6000.0,2.0,0
6.0,37.0,2,0,0,10,2,1000.0,5.0,0
7.0,51.0,2,0,3,3,0,6000.0,11.0,0
11.0,68.0,2,0,0,10,0,12000.0,2.0,0
8.0,51.0,2,0,2,6,0,18106.7,7.0,0
8.0,74.0,2,0,2,6,2,1000.0,6.5646704949412085,1
8.0,41.0,5,1,3,3,3,0.0099999999999999,8.0,0
14.0,43.0,5,0,3,3,0,6000.0,1.0,1
10.0,39.0,2,1,0,10,3,0.0099999999999999,5.0,0
8.0,51.0,5,1,0,2,3,0.0099999999999999,4.0,0
12.0,41.0,2,1,0,2,3,0.0099999999999999,9.0,0
12.0,61.0,1,0,3,3,2,1020.0,9.0,0
7.0,55.0,2,1,0,10,2,2000.0,1.0,0
14.0,65.0,2,1,3,8,0,6053.349999999999,6.0,0
5.0,57.0,5,0,3,3,0,12000.0,1.0,0
7.0,54.0,1,0,0,4,3,0.0099999999999999,6.5646704949412085,0
10.0,36.0,5,0,3,3,2,1000.0,9.0,1
9.0,47.0,2,1,0,10,3,0.0099999999999999,5.0,0
10.0,51.0,3,0,0,4,3,0.0099999999999999,5.0,0
10.0,39.0,2,1,3,3,3,0.0099999999999999,4.0,1
8.0,47.0,2,0,0,4,3,0.0099999999999999,5.0,0
15.0,51.0,4,0,0,2,2,0.0199999999999999,6.5646704949412085,1
9.0,37.0,2,1,0,10,0,10000.0,11.0,1
5.0,52.0,2,0,3,8,3,0.0099999999999999,5.0,0
8.0,51.0,1,0,3,3,0,8053.349999999999,1.0,0
10.0,51.0,2,1,0,10,2,1000.0,6.0,0
3.0,33.0,2,1,1,7,3,0.0099999999999999,5.0,0
7.0,78.0,2,0,0,10,2,1250.0,5.0,0
8.0,66.0,2,0,0,10,2,500.0,8.0,0
7.0,61.0,2,0,0,4,0,6107.639999999999,6.5646704949412085,0
9.0,64.0,5,0,3,3,2,3000.0,1.0,0
9.0,31.0,5,0,3,3,2,1064.4499999999998,1.0,1
8.0,73.0,2,1,0,10,0,6000.0,6.0,0
8.0,51.0,3,0,4,9,3,0.0099999999999999,4.0,1
5.0,51.0,2,0,0,4,2,50.02,8.0,0
7.0,57.0,1,0,3,3,2,2000.0,1.0,0
